#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.base.inference.CompoundDistribution">
#    <distribution id="prior" spec="beast.base.inference.CompoundDistribution">
#        <distribution id="CalibratedYuleModel.t:tree" spec="beast.base.evolution.speciation.CalibratedYuleModel">
#            <parameter id="birthRateY.t:tree" lower="0.0" name="birthRate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            <tree id="Tree.t:tree" spec="beast.base.evolution.tree.Tree">
#                <taxonset id="TaxonSet.noncoding" spec="beast.base.evolution.alignment.TaxonSet">
#                    <alignment filter="1,458-659,897-898" id="noncoding" spec="beast.base.evolution.alignment.FilteredAlignment">
#                    </alignment>
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="CalibratedYuleBirthRatePrior.t:tree" name="distribution" x="@birthRateY.t:tree">
#            <Gamma id="Gamma.8" name="distr">
#                <parameter estimate="false" id="RealParameter.23" name="alpha" spec="beast.base.inference.parameter.RealParameter">0.001</parameter>
#                <parameter estimate="false" id="RealParameter.24" name="beta" spec="beast.base.inference.parameter.RealParameter">1000.0</parameter>
#            </Gamma>
#        </prior>
#        <prior id="ClockPrior.c:clock" name="distribution">
#            <parameter id="clockRate.c:clock" lower="0.0" name="x" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            <Uniform id="Uniform.0" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="GammaShapePrior.s:1stpos" name="distribution">
#            <parameter id="gammaShape.s:1stpos" lower="0.1" name="x" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            <Exponential id="Exponential.0.1stpos" name="distr">
#                <parameter estimate="false" id="RealParameter.0.1stpos" name="mean" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            </Exponential>
#        </prior>
#        <prior id="GammaShapePrior.s:2ndpos" name="distribution">
#            <parameter id="gammaShape.s:2ndpos" lower="0.1" name="x" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            <Exponential id="Exponential.0.2ndpos" name="distr">
#                <parameter estimate="false" id="RealParameter.0.2ndpos" name="mean" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            </Exponential>
#        </prior>
#        <prior id="GammaShapePrior.s:3rdpos" name="distribution">
#            <parameter id="gammaShape.s:3rdpos" lower="0.1" name="x" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            <Exponential id="Exponential.0.3rdpos" name="distr">
#                <parameter estimate="false" id="RealParameter.0.3rdpos" name="mean" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            </Exponential>
#        </prior>
#        <prior id="GammaShapePrior.s:noncoding" name="distribution">
#            <parameter id="gammaShape.s:noncoding" lower="0.1" name="x" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            <Exponential id="Exponential.0" name="distr">
#                <parameter estimate="false" id="RealParameter.0" name="mean" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            </Exponential>
#        </prior>
#        <prior id="KappaPrior.s:1stpos" name="distribution">
#            <parameter id="kappa.s:1stpos" lower="0.0" name="x" spec="beast.base.inference.parameter.RealParameter">2.0</parameter>
#            <LogNormal id="LogNormalDistributionModel.4.1stpos" name="distr">
#                <parameter estimate="false" id="RealParameter.20.1stpos" name="M" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.21.1stpos" name="S" spec="beast.base.inference.parameter.RealParameter">1.25</parameter>
#            </LogNormal>
#        </prior>
#        <prior id="KappaPrior.s:2ndpos" name="distribution">
#            <parameter id="kappa.s:2ndpos" lower="0.0" name="x" spec="beast.base.inference.parameter.RealParameter">2.0</parameter>
#            <LogNormal id="LogNormalDistributionModel.4.2ndpos" name="distr">
#                <parameter estimate="false" id="RealParameter.20.2ndpos" name="M" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.21.2ndpos" name="S" spec="beast.base.inference.parameter.RealParameter">1.25</parameter>
#            </LogNormal>
#        </prior>
#        <prior id="KappaPrior.s:3rdpos" name="distribution">
#            <parameter id="kappa.s:3rdpos" lower="0.0" name="x" spec="beast.base.inference.parameter.RealParameter">2.0</parameter>
#            <LogNormal id="LogNormalDistributionModel.4.3rdpos" name="distr">
#                <parameter estimate="false" id="RealParameter.20.3rdpos" name="M" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.21.3rdpos" name="S" spec="beast.base.inference.parameter.RealParameter">1.25</parameter>
#            </LogNormal>
#        </prior>
#        <prior id="KappaPrior.s:noncoding" name="distribution">
#            <parameter id="kappa.s:noncoding" lower="0.0" name="x" spec="beast.base.inference.parameter.RealParameter">2.0</parameter>
#            <LogNormal id="LogNormalDistributionModel.4" name="distr">
#                <parameter estimate="false" id="RealParameter.20" name="M" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.21" name="S" spec="beast.base.inference.parameter.RealParameter">1.25</parameter>
#            </LogNormal>
#        </prior>
#        <distribution id="human-chimp.prior" monophyletic="true" spec="beast.base.evolution.tree.MRCAPrior" tree="@Tree.t:tree">
#            <taxonset id="human-chimp" spec="beast.base.evolution.alignment.TaxonSet">
#                <taxon id="Homo_sapiens" spec="beast.base.evolution.alignment.Taxon"/>
#                <taxon id="Pan" spec="beast.base.evolution.alignment.Taxon"/>
#            </taxonset>
#            <Normal id="Normal.0" name="distr">
#                <parameter estimate="false" id="RealParameter.25" name="mean" spec="beast.base.inference.parameter.RealParameter">6.0</parameter>
#                <parameter estimate="false" id="RealParameter.26" name="sigma" spec="beast.base.inference.parameter.RealParameter">0.5</parameter>
#            </Normal>
#        </distribution>
#    </distribution>
#    <distribution id="likelihood" spec="beast.base.inference.CompoundDistribution" useThreads="true">
#        <distribution data="@noncoding" id="treeLikelihood.noncoding" spec="beast.base.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:tree">
#            <siteModel gammaCategoryCount="4" id="SiteModel.s:noncoding" shape="@gammaShape.s:noncoding" spec="beast.base.evolution.sitemodel.SiteModel">
#                <parameter id="mutationRate.s:noncoding" lower="0.0" name="mutationRate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:noncoding" lower="0.0" name="proportionInvariant" spec="beast.base.inference.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="hky.s:noncoding" kappa="@kappa.s:noncoding" spec="beast.base.evolution.substitutionmodel.HKY">
#                    <frequencies data="@noncoding" id="empiricalFreqs.s:noncoding" spec="beast.base.evolution.substitutionmodel.Frequencies"/>
#                </substModel>
#            </siteModel>
#            <branchRateModel clock.rate="@clockRate.c:clock" id="StrictClock.c:clock" spec="beast.base.evolution.branchratemodel.StrictClockModel"/>
#        </distribution>
#        <distribution branchRateModel="@StrictClock.c:clock" id="treeLikelihood.1stpos" spec="beast.base.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:tree">
#            <data data="@primate-mtDNA" filter="2-457\3,660-896\3" id="1stpos" spec="beast.base.evolution.alignment.FilteredAlignment"/>
#            <siteModel gammaCategoryCount="4" id="SiteModel.s:1stpos" shape="@gammaShape.s:1stpos" spec="beast.base.evolution.sitemodel.SiteModel">
#                <parameter id="mutationRate.s:1stpos" lower="0.0" name="mutationRate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:1stpos" lower="0.0" name="proportionInvariant" spec="beast.base.inference.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="hky.s:1stpos" kappa="@kappa.s:1stpos" spec="beast.base.evolution.substitutionmodel.HKY">
#                    <frequencies data="@1stpos" id="empiricalFreqs.s:1stpos" spec="beast.base.evolution.substitutionmodel.Frequencies"/>
#                </substModel>
#            </siteModel>
#        </distribution>
#        <distribution branchRateModel="@StrictClock.c:clock" id="treeLikelihood.2ndpos" spec="beast.base.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:tree">
#            <data data="@primate-mtDNA" filter="3-457\3,661-896\3" id="2ndpos" spec="beast.base.evolution.alignment.FilteredAlignment"/>
#            <siteModel gammaCategoryCount="4" id="SiteModel.s:2ndpos" shape="@gammaShape.s:2ndpos" spec="beast.base.evolution.sitemodel.SiteModel">
#                <parameter id="mutationRate.s:2ndpos" lower="0.0" name="mutationRate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:2ndpos" lower="0.0" name="proportionInvariant" spec="beast.base.inference.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="hky.s:2ndpos" kappa="@kappa.s:2ndpos" spec="beast.base.evolution.substitutionmodel.HKY">
#                    <frequencies data="@2ndpos" id="empiricalFreqs.s:2ndpos" spec="beast.base.evolution.substitutionmodel.Frequencies"/>
#                </substModel>
#            </siteModel>
#        </distribution>
#        <distribution branchRateModel="@StrictClock.c:clock" id="treeLikelihood.3rdpos" spec="beast.base.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:tree">
#            <data data="@primate-mtDNA" filter="4-457\3,662-.\3" id="3rdpos" spec="beast.base.evolution.alignment.FilteredAlignment"/>
#            <siteModel gammaCategoryCount="4" id="SiteModel.s:3rdpos" shape="@gammaShape.s:3rdpos" spec="beast.base.evolution.sitemodel.SiteModel">
#                <parameter id="mutationRate.s:3rdpos" lower="0.0" name="mutationRate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:3rdpos" lower="0.0" name="proportionInvariant" spec="beast.base.inference.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="hky.s:3rdpos" kappa="@kappa.s:3rdpos" spec="beast.base.evolution.substitutionmodel.HKY">
#                    <frequencies data="@3rdpos" id="empiricalFreqs.s:3rdpos" spec="beast.base.evolution.substitutionmodel.Frequencies"/>
#                </substModel>
#            </siteModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood.1stpos	treeLikelihood.2ndpos	treeLikelihood.3rdpos	treeLikelihood.noncoding	Tree.height	Tree.treeLength	mutationRate.1stpos	mutationRate.2ndpos	mutationRate.3rdpos	mutationRate.noncoding	gammaShape.1stpos	gammaShape.2ndpos	gammaShape.3rdpos	gammaShape.noncoding	kappa.1stpos	kappa.2ndpos	kappa.3rdpos	kappa.noncoding	CalibratedYuleModel	birthRateY	logP(mrca(human-chimp))	mrca.age(human-chimp)	clockRate
0	-7775.2552026247795	-7703.691380450273	-71.56382217450684	-1932.0034255058029	-1504.6950163358129	-2842.265610639773	-1424.7273279688834	1.5158128008912184	7.0290973166815816	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	2.0	2.0	2.0	-3.8892793811364315	1.0	-49.29801601681042	1.0466059785150503	1.0
200	-6822.968308986406	-6728.563733739651	-94.40457524675448	-1687.5114702173432	-1246.375724269185	-2649.4215641275723	-1145.254975125551	0.9385525692045862	4.846117035202199	1.0	0.8535572540340792	1.641450164920399	0.44221115230007557	1.0	1.0	1.0	1.2604946061918003	2.0	2.0	2.0	3.550847237180647	-2.8783762523157645	1.6695186435951586	-71.80973268230302	0.017360894652833758	0.6755798372175766
400	-6024.23344797784	-5923.334509325292	-100.89893865254847	-1450.451837367786	-1010.3998503088515	-2460.814654867025	-1001.6681667816295	1.5594070520605796	10.354797611188614	1.0	0.48881085983138406	2.006196559123094	0.44221115230007557	0.5263561492734967	1.0	1.1285811656645026	1.2604946061918003	3.206767498716282	2.0	2.0	3.550847237180647	-10.263018979918142	1.055301909935254	-71.27265469488272	0.03984633829638644	0.2231274557532171
600	-5945.563654250384	-5845.707702429034	-99.85595182135087	-1428.8773635341224	-996.4517025935802	-2430.975808801915	-989.4028274994165	1.585787061175676	9.75878068666521	1.0	0.48881085983138406	2.006196559123094	0.44221115230007557	0.5263561492734967	1.0	1.1285811656645026	1.2604946061918003	3.206767498716282	2.0	2.0	3.550847237180647	-9.585511963244034	1.0603420620970891	-70.90240994525139	0.05539662413855126	0.2231274557532171
800	-5931.767054917397	-5827.830360890143	-103.93669402725348	-1423.1699891474073	-989.552559788763	-2426.6791098510566	-988.4287021029162	2.4753014528882544	14.763701521509129	1.0	0.48881085983138406	2.006196559123094	0.44221115230007557	0.5263561492734967	0.7073538499668515	1.1285811656645026	1.2604946061918003	3.206767498716282	2.0	2.0	3.550847237180647	-14.782004427519135	1.0603420620970891	-70.07930583691204	0.09011360158812705	0.14784729218324505
1000	-5902.028374209007	-5804.402897743301	-97.62547646570572	-1415.5711163110238	-988.3655091930436	-2413.4017749007735	-987.0644973384597	1.3443160199979742	8.170314581549892	1.0	0.48881085983138406	2.006196559123094	0.44221115230007557	0.5263561492734967	0.7073538499668515	1.1285811656645026	1.2604946061918003	3.206767498716282	2.0	2.0	3.550847237180647	-7.996161168494743	0.9871136469864704	-70.625494859625	0.06705370380869409	0.2376583725812463
1200	-5869.310213587622	-5773.548113642322	-95.76209994529938	-1410.1066468208091	-987.0227610190493	-2400.0755221115946	-976.3431836908687	1.373746371170603	7.902224385420798	1.0	0.48881085983138406	2.006196559123094	0.44221115230007557	0.5263561492734967	0.7073538499668515	1.1285811656645026	0.7027504904571108	3.206767498716282	2.0	2.0	3.550847237180647	-7.615697820045081	0.9871136469864704	-69.70032580340302	0.10616701751914756	0.2376583725812463
1400	-5854.791566661307	-5758.748034772985	-96.0435318883215	-1403.4307812241088	-983.9951994516725	-2394.1390231171977	-977.1830309800056	1.2551352799586544	7.574888711642371	1.0	0.48881085983138406	2.006196559123094	0.44221115230007557	0.5263561492734967	0.7073538499668515	1.1285811656645026	0.7027504904571108	3.206767498716282	2.0	2.0	3.550847237180647	-7.516606950086647	2.0087443166253847	-69.3700575545479	0.12019276668430352	0.2376583725812463
1600	-5819.878474850306	-5731.98766624071	-87.89080860959648	-1401.5962468375412	-982.7599183765658	-2384.969181495349	-962.6623195312535	0.3992635547136032	2.3853030865623404	1.0	0.48881085983138406	2.006196559123094	0.44221115230007557	0.5263561492734967	0.7073538499668515	1.1285811656645026	0.4999721111975184	3.206767498716282	2.0	2.0	5.485937841965008	3.036142966899401	2.2628999136332486	-71.28365092617993	0.03938511672096065	0.7603728790942443
1800	-5813.981144934961	-5719.778197712507	-94.20294722245421	-1397.3594278721164	-982.7721922743302	-2380.407929353392	-959.238648212668	0.8890537098920359	5.176654399081166	1.0	0.48881085983138406	2.006196559123094	0.44221115230007557	0.5263561492734967	0.7073538499668515	1.1285811656645026	0.269040432686869	3.67198320571437	2.0	2.0	5.485937841965008	-4.049289194515993	3.1490850243783894	-70.25459919620135	0.08270298854465923	0.381948076396297
2000	-5809.888396242994	-5712.23138036634	-97.65701587665392	-1394.5745935031905	-979.7091434597263	-2378.8593896169746	-959.0882537864485	1.8178206892393192	10.144094760952942	1.0	0.48881085983138406	2.006196559123094	0.44221115230007557	0.5263561492734967	0.7073538499668515	1.1285811656645026	0.269040432686869	3.67198320571437	2.0	2.0	5.485937841965008	-10.31273635093747	1.4708907584799353	-68.20738141124907	0.16983747831141774	0.18200747537904496
2200	-5803.854686369694	-5705.268969238214	-98.58571713148004	-1392.873574088126	-972.9066319599493	-2379.557675138724	-959.9310880514149	3.9882370283440673	22.4129293006824	1.0	0.48881085983138406	2.006196559123094	0.44221115230007557	0.5263561492734967	0.7073538499668515	1.1285811656645026	0.269040432686869	3.67198320571437	2.2384135007073063	2.0	5.485937841965008	-17.78492042752473	0.3711094787856115	-62.94618575946055	0.3999823925805458	0.07859945613300567
2400	-5801.5742166499895	-5703.073516024067	-98.50070062592245	-1393.1044317015535	-972.8461006420542	-2376.9997594987917	-960.1232241816675	7.59132477810903	41.29936924871755	1.0	0.48881085983138406	2.006196559123094	0.44221115230007557	0.5263561492734967	0.7073538499668515	1.1285811656645026	0.269040432686869	3.67198320571437	2.2384135007073063	2.0	5.485937841965008	-23.86850513064543	0.3071367274422362	-56.96666341487869	0.6736094744079292	0.04787886252198887
2600	-5795.128662101351	-5697.4538763603305	-97.6747857410208	-1392.13248226743	-971.3128270299683	-2374.2476857988645	-959.760881264068	7.001051389894647	38.91140374040328	1.0	0.48881085983138406	2.006196559123094	0.44221115230007557	0.5263561492734967	0.7073538499668515	1.1285811656645026	0.269040432686869	3.67198320571437	2.2384135007073063	2.0	5.485937841965008	-23.086935563826273	0.2513882995405821	-57.12246781179955	0.6663016368023389	0.04787886252198887
2800	-5792.529358762558	-5699.943316307159	-92.58604245539968	-1396.8938952509818	-974.3492305513095	-2368.8051961789265	-959.8949943259407	8.696262772581132	50.195424550910964	1.0	0.48881085983138406	2.006196559123094	0.44221115230007557	0.5263561492734967	0.7073538499668515	1.1285811656645026	0.269040432686869	3.67198320571437	2.2384135007073063	2.0	5.485937841965008	-25.731049250554044	0.17003049347282617	-49.78032213582901	1.0223232937853286	0.03516394894721164
3000	-5785.321182559784	-5694.986146420435	-90.33503613934849	-1394.1796260034298	-974.1044485882844	-2369.5631775736856	-957.1388942550345	9.540470770577041	56.723586938802896	1.0	0.48881085983138406	2.006196559123094	0.44221115230007557	0.5263561492734967	0.7073538499668515	1.1285811656645026	0.269040432686869	3.67198320571437	2.2384135007073063	2.0	5.485937841965008	-26.84966926861499	0.15798598143076495	-46.484105865103956	1.1907217530871	0.03516394894721164
3200	-5786.2426143765815	-5697.681106512808	-88.56150786377427	-1394.566525647503	-975.2710461122554	-2369.7404674284267	-958.1030673246227	10.380148779932544	58.03954197835409	1.0	0.48881085983138406	2.006196559123094	0.44221115230007557	0.5263561492734967	1.0039447600706815	1.1285811656645026	0.269040432686869	3.67198320571437	2.2384135007073063	2.0	5.485937841965008	-27.002138234763525	0.15798598143076495	-44.26151771327737	1.3076804051390183	0.03516394894721164
3400	-5640.991879396797	-5576.018638355841	-64.97324104095588	-1389.5935202590606	-978.6560491270988	-2249.8382350716447	-957.9308338980367	21.221094384188785	121.74098566271616	1.0	0.48881085983138406	2.006196559123094	0.44221115230007557	0.5263561492734967	1.0039447600706815	1.2434436227711148	0.4699522459359696	3.67198320571437	2.2384135007073063	5.286907529362405	8.445083632117036	-34.75484149370272	0.06066803910706576	-11.79261695060452	3.5951272800873855	0.016869854109533733
3600	-5637.974325952016	-5579.756689123858	-58.21763682815773	-1390.4770142214606	-976.1325597019885	-2254.5369816897046	-958.6101335107044	37.755870593136294	212.17376876590407	1.0	0.48881085983138406	2.006196559123094	0.44221115230007557	0.5263561492734967	1.0039447600706815	1.2434436227711148	0.4699522459359696	3.67198320571437	2.2384135007073063	5.286907529362405	8.445083632117036	-39.6514222980458	0.04763324309456739	-0.3820892011168999	6.279551290886102	0.008673510772021744
3800	-5633.03143266061	-5573.157856166554	-59.87357649405652	-1388.0493775692642	-976.2763011761662	-2249.835787734531	-958.9963896865926	40.70477269066434	229.46195009116485	1.0	0.48881085983138406	2.006196559123094	0.44221115230007557	0.5263561492734967	1.0039447600706815	1.2434436227711148	0.4699522459359696	3.67198320571437	2.2384135007073063	5.286907529362405	8.445083632117036	-41.856913983995234	0.02697279572972926	-0.40069124872112716	5.7042806262041665	0.008673510772021744
4000	-5634.612148153715	-5572.95906096123	-61.65308719248481	-1389.0878511856786	-981.4358887371129	-2246.419648318048	-956.0156727203901	43.667071558622766	254.8290388799188	1.0	0.48881085983138406	2.006196559123094	0.44221115230007557	0.5263561492734967	1.0039447600706815	1.2434436227711148	0.4699522459359696	3.67198320571437	2.2384135007073063	5.286907529362405	8.445083632117036	-42.68092170350539	0.06355710503516332	-0.4999047521641689	5.629788304128947	0.008673510772021744
4200	-5620.971882404254	-5558.700241909803	-62.271640494451	-1396.122810521033	-972.9482688704503	-2232.7097809678085	-956.9193815505112	48.97832277084681	271.4459657824561	1.1508356488267744	0.3379752110046097	2.006196559123094	0.44221115230007557	0.5263561492734967	1.0039447600706815	1.2434436227711148	0.4699522459359696	3.67198320571437	2.2384135007073063	6.034716069989229	7.453301582130031	-43.59739188562814	0.06272484640830023	-0.2315032560113635	5.946558895189956	0.008673510772021744
4400	-5619.864512742947	-5558.797080978319	-61.06743176462818	-1398.7455955430341	-972.73268331148	-2228.6112138126564	-958.7075883111488	52.74213916636708	276.9242427586964	1.1508356488267744	0.3379752110046097	2.006196559123094	0.44221115230007557	0.5263561492734967	1.0039447600706815	1.2434436227711148	0.4699522459359696	3.67198320571437	2.2384135007073063	6.034716069989229	7.453301582130031	-42.49261139995193	0.03745094237858533	-0.6473103303021535	6.459085491851695	0.008673510772021744
4600	-5620.894620554349	-5560.247480763952	-60.64713979039656	-1399.9873593520545	-971.6968764076711	-2229.8492195219146	-958.7140254823113	48.388034605538856	274.9631436030404	1.1508356488267744	0.3379752110046097	2.006196559123094	0.44221115230007557	0.5263561492734967	1.0039447600706815	1.2434436227711148	0.4699522459359696	3.67198320571437	2.2384135007073063	6.034716069989229	7.453301582130031	-42.480068489268476	0.03745094237858533	-0.2395612667539943	5.917024358666935	0.008673510772021744
